p 14 29 20 18 18 17 17 25 9 18 14 0 0 12 47 44 15 12 32 22 0 0 0.6319444444444444 0.7274305555555556 1 1
i 0 10 1 0 13 9 9 9 9 16 0 0 0 0 0 11 44 6 0 0 0 0 0.9574759945130316 0.8984910836762688 0 2
S 8 28 18 16 24 26 23 16 19 31 8 0 0 34 41 24 25 27 46 33 0 0 0.7965561224489796 0.7799744897959183 0 1
o 10 18 17 17 19 18 19 17 17 20 10 0 16 27 26 12 12 12 33 28 18 0 0.941358024691358 0.9567901234567902 1 1
P 13 39 21 23 22 32 11 11 11 29 13 0 4 13 51 51 20 16 13 24 15 0 0.5480109739368999 0.7674897119341564 1 1
i 0 10 0 0 13 9 9 9 9 18 0 0 0 0 0 16 44 5 0 0 0 0 0.9513031550068587 0.8909465020576132 0 2
n 0 20 31 20 17 18 18 18 18 37 0 3 13 35 34 13 12 13 33 31 6 3 0.8337950138504155 0.7894736842105263 1 1
n 0 25 32 19 18 18 18 18 32 37 0 0 12 36 35 15 10 14 34 32 7 0 0.8275 0.875 1 1
c 2 15 15 18 16 10 10 15 17 15 2 0 0 17 28 18 13 11 21 20 0 0 0.7077562326869806 0.9044321329639889 0 1
t 0 8 8 22 17 9 12 16 15 15 0 0 0 0 7 43 47 12 14 0 0 0 0.7344 0.8496 0 1
X 0 33 19 14 11 9 14 15 25 33 0 0 10 15 25 30 18 30 27 18 9 0 0.868421052631579 0.8407202216066482 1 1
i 10 11 3 0 13 9 9 10 11 16 10 0 0 0 0 10 43 41 0 0 0 0 0.9252400548696845 0.8868312757201646 0 2
t 0 7 8 22 18 9 10 16 15 16 0 0 0 0 8 42 47 12 14 0 0 0 0.7456 0.8512 0 1
n 0 15 30 20 18 18 18 18 24 38 0 3 12 35 33 12 9 29 33 30 8 3 0.82375 0.83125 1 1
r 13 25 25 18 10 9 8 8 9 17 13 0 0 13 36 35 19 11 14 11 0 0 0.6234567901234568 0.7592592592592593 0 1
i 0 10 1 0 13 9 9 9 9 18 0 0 0 0 0 16 44 6 0 0 0 0 0.9540466392318244 0.8978052126200274 0 2
n 0 19 31 20 19 19 19 19 27 39 0 2 13 36 33 14 11 36 33 29 7 2 0.80625 0.87375 1 1
t 0 7 6 22 17 8 10 14 14 16 0 0 0 0 7 42 47 14 15 0 0 0 0.736 0.8448 0 1
t 0 7 7 22 19 9 9 15 15 16 0 0 0 0 8 37 48 11 15 0 0 0 0.7584 0.848 0 1
t 4 7 8 23 9 9 9 15 14 15 4 0 0 0 7 41 47 13 17 0 0 0 0.7421875 0.8376736111111112 0 1
m 0 0 8 34 26 26 27 55 0 0 0 0 15 35 10 13 33 12 10 34 25 0 0.9183333333333333 0.9161111111111111 1 1
c 1 16 17 19 18 10 14 14 17 15 1 0 0 19 29 18 13 15 23 21 0 0 0.7493074792243767 0.9016620498614959 0 1
