U,0,60,40,40,40,40,40,40,40,42,0,4,11,185,65,15,5,5,10,25,11,4,0.7808641975308642,0.8852023319615913,0,1
V,0,71,46,43,42,41,40,40,35,19,0,4,9,46,103,95,75,17,23,51,13,4,0.8181500567735174,0.6809328325617958,0,1
W,0,0,256,84,83,82,82,65,17,0,0,0,29,108,83,24,49,116,40,23,30,0,0.8619631901840491,0.7526252399412849,0,1
X,0,65,47,47,45,38,48,48,49,88,0,0,20,66,77,72,57,76,85,47,13,0,0.7851611817187105,0.7488006060095952,0,1
Y,0,65,48,47,46,43,33,33,33,43,0,0,10,38,73,78,127,39,21,38,12,0,0.861409023668639,0.6418269230769231,0,1
Z,174,59,44,38,38,38,38,43,49,63,174,0,69,66,72,68,67,68,69,49,45,0,0.6829,0.6792,0,1
1,0,54,25,25,25,25,25,25,25,29,0,0,0,0,7,18,195,10,3,0,0,0,0.977894324085874,0.9619154984805411,0,1
2,0,36,40,43,55,28,25,20,19,102,0,0,0,5,86,54,48,66,128,34,0,0,0.8402056901191849,0.7250576701268743,0,1
3,21,39,44,22,19,51,25,40,40,37,21,0,0,15,71,39,20,43,153,18,0,0,0.8435290790837968,0.8508813271750401,0,1
4,0,19,32,33,33,32,32,41,32,28,0,0,0,9,18,19,26,190,18,56,0,0,0.7419860797960984,0.8878541319478482,1,1
5,20,62,6,6,39,30,26,26,47,41,20,0,0,19,42,36,32,47,116,17,0,0,0.7683583237216455,0.7797001153402537,1,1
6,18,37,18,20,51,51,48,47,44,37,18,0,0,35,144,38,15,26,127,13,0,0,0.8686963898576681,0.7651993590347818,1,1
7,7,105,18,11,14,17,20,23,25,28,7,0,0,0,41,78,69,56,44,0,0,0,0.8584966715976331,0.7957193047337278,0,1
8,20,36,41,45,55,53,55,46,40,35,20,0,0,0,147,52,35,64,141,0,0,0,0.9132340465642379,0.8600716372890942,2,1
9,17,37,45,48,50,51,53,21,17,37,17,0,0,24,128,25,17,38,143,32,0,0,0.8664812894712037,0.7629842586483174,1,1
0,13,28,36,42,49,49,47,42,36,28,13,0,0,29,142,28,9,25,146,41,0,0,0.9809124328400415,0.9975021208407956,1,1
